Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
0,29.265406,15.932431,0.9772616724173228,0.02921539156125325,dataset_snu_cell_05_n,63.105686,dataset_snu_cell_05_n,0.9124955534934998,[ 0.5030278  -0.15637854  0.25105235  0.418101  ]
1,21.928694,11.249637,0.9875132938226064,0.014912195839419513,dataset_snu_cell_05_f,44.62965,dataset_snu_cell_05_f,0.9550247192382812,[ 0.64200884 -0.09855009  0.09294471  0.37824935]
2,29.4807,12.362035,0.9774678945541382,0.021994997649860615,dataset_snu_cell_15_n,52.203728,dataset_snu_cell_15_n,0.9326838254928589,[1. 0. 0. 0.]
3,24.256033,14.103194,0.9822779397169749,0.025342090537824147,dataset_snu_cell_15_n,54.77911,dataset_snu_cell_15_n,0.92587810754776,[ 0.56779534  0.10549586 -0.09340531  0.40866005]
4,28.944895,11.985518,0.9794947703679403,0.017587404780108888,dataset_snu_cell_05_n,49.783035,dataset_snu_cell_05_n,0.9455426931381226,[1. 0. 0. 0.]
5,25.50885,3.3625531,0.9881453812122345,0.002687596609707621,dataset_snu_cell_02_f,31.899565,dataset_snu_cell_02_f,0.983451247215271,[0. 0. 0. 1.]
6,20.025229,4.8585725,0.9923430581887563,0.0038907582314011958,dataset_snu_cell_07_n,29.650295,dataset_snu_cell_07_n,0.9839997291564941,[ 6.3055444e-01 -3.1878450e-04 -1.1609435e-02  3.6921293e-01]
7,23.672417,10.022951,0.9880786836147308,0.010730046351299862,dataset_snu_cell_04_n,44.0889,dataset_snu_cell_04_n,0.96522456407547,[ 0.6330103   0.13723625 -0.0698917   0.28403762]
8,23.781733,10.726291,0.9863968392213186,0.015115368642377872,dataset_snu_cell_05_n,46.097633,dataset_snu_cell_05_n,0.9533071517944336,[ 0.5820288   0.14707096 -0.07069651  0.3480636 ]
9,25.010519,10.87077,0.9837975402673086,0.01814541116493131,dataset_snu_cell_15_n,47.755104,dataset_snu_cell_15_n,0.9436678886413574,[1. 0. 0. 0.]
10,21.909647,11.4439535,0.9874306420485178,0.015077327757532117,dataset_snu_cell_05_f,44.79716,dataset_snu_cell_05_f,0.9546864628791809,[ 0.70152897 -0.12357488  0.08262686  0.35513234]
11,18.223013,4.4192147,0.993253618478775,0.0038432069982815126,dataset_snu_cell_13_f,27.241388,dataset_snu_cell_13_f,0.985019326210022,[ 0.7306842   0.07866133 -0.11748661  0.3253452 ]
12,26.732603,7.3418126,0.9847668906052908,0.011801702168712219,dataset_snu_cell_07_f,42.843033,dataset_snu_cell_07_f,0.9584395885467529,[0. 0. 0. 1.]
13,28.161547,17.950949,0.9746401309967041,0.03834209030559887,dataset_snu_cell_15_n,66.93033,dataset_snu_cell_15_n,0.8893471956253052,[1. 0. 0. 0.]
14,30.334541,13.071715,0.979689210653305,0.015717991034519967,dataset_snu_cell_03_n,51.90459,dataset_snu_cell_03_n,0.9527303576469421,[ 0.72994274  0.01653684 -0.03096749  0.2741819 ]
15,23.960915,2.2480469,0.9889652927716573,0.001998363038435568,dataset_snu_cell_11_n,27.76219,dataset_snu_cell_11_n,0.9854395985603333,[0. 0. 0. 1.]
16,20.748384,5.922438,0.9915239016215006,0.004906374003362376,dataset_snu_cell_07_n,31.045074,dataset_snu_cell_07_n,0.9824589490890503,[ 0.5334952   0.07859215 -0.01808564  0.3936878 ]
17,18.215992,5.446583,0.9936580757300059,0.0033927837838257707,dataset_snu_cell_03_f,28.068577,dataset_snu_cell_03_f,0.9871874451637268,[0.3088143  0.0632427  0.16969858 0.45733717]
18,31.357817,14.379338,0.9750020106633505,0.02329552762173494,dataset_snu_cell_05_n,55.907303,dataset_snu_cell_05_n,0.9313200116157532,[ 0.42373365  0.18818629 -0.02617612  0.43985343]
19,25.275627,5.98551,0.9876168072223663,0.005861039826343119,dataset_snu_cell_04_n,36.122517,dataset_snu_cell_04_n,0.9766562581062317,[ 0.72436005  0.03846209 -0.08867829  0.321259  ]
20,29.384003,9.230398,0.9818139175573984,0.012099372610946048,dataset_snu_cell_07_n,42.275196,dataset_snu_cell_05_n,0.962788462638855,[0.33380613 0.07142062 0.14278616 0.41882822]
21,22.899147,16.471596,0.9818662802378336,0.030399320751847307,dataset_snu_cell_15_n,59.006817,dataset_snu_cell_15_n,0.9139955639839172,[ 0.66048557  0.03793295 -0.01341858  0.31934345]
