Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,43.684616,9.942703,0.9649326602617899,0.01524004698767607,dataset_snu_cell_03_n,58.95231,dataset_snu_cell_03_n,0.9391692876815796
1,36.5802,12.5451355,0.9699696898460388,0.025655938140215405,dataset_snu_cell_07_f,61.343082,dataset_snu_cell_07_f,0.9150314331054688
2,33.67219,12.070413,0.973950187365214,0.023485328616894174,dataset_snu_cell_07_f,58.380486,dataset_snu_cell_07_f,0.9230404496192932
3,37.333885,12.371252,0.9722597797711691,0.01821283810970819,dataset_snu_cell_03_n,61.072357,dataset_snu_cell_03_n,0.9347154498100281
4,40.613712,15.087696,0.9595258235931396,0.04156608718314782,dataset_snu_cell_15_n,73.44431,dataset_snu_cell_15_n,0.8671420216560364
5,38.771584,13.026757,0.9671480854352316,0.024944304254039738,dataset_snu_cell_05_n,62.34027,dataset_snu_cell_05_n,0.9148359894752502
6,40.973236,10.850456,0.9683967729409536,0.014411967207995065,dataset_snu_cell_03_n,55.92694,dataset_snu_cell_03_n,0.9452525973320007
7,42.38883,15.339256,0.9593112071355184,0.0374565265895967,dataset_snu_cell_07_f,73.56018,dataset_snu_cell_07_f,0.8778164982795715
8,34.524933,5.7195373,0.9779092967510223,0.007000534028987346,dataset_snu_cell_08_f,41.763397,dataset_snu_cell_08_f,0.9691738486289978
9,49.098545,10.965129,0.9484474857648214,0.026905674557106962,dataset_snu_cell_07_f,62.005375,dataset_snu_cell_07_f,0.91318678855896
10,59.620396,31.559376,0.9016043543815613,0.10303737459385814,dataset_snu_cell_07_f,107.28197,dataset_snu_cell_07_f,0.7401154041290283
11,34.111187,10.650709,0.9743108451366425,0.019610713040983115,dataset_snu_cell_07_f,54.632633,dataset_snu_cell_07_f,0.9326044321060181
12,51.706303,16.572588,0.9379449486732483,0.05010544567066103,dataset_snu_cell_07_f,86.756966,dataset_snu_cell_07_f,0.8300443291664124
13,38.123623,10.106631,0.9686867694060007,0.024387750877911635,dataset_snu_cell_15_n,58.69271,dataset_snu_cell_15_n,0.915152370929718
14,33.56838,6.1703396,0.9783495565255483,0.006543909303618571,dataset_snu_cell_02_f,45.53947,dataset_snu_cell_02_f,0.9663518667221069
15,42.41622,9.416165,0.9617316126823425,0.022892132751785324,dataset_snu_cell_15_n,59.100014,dataset_snu_cell_15_n,0.9139707088470459
16,41.318832,13.289403,0.9646220902601877,0.023487166817154632,dataset_snu_cell_07_f,57.981564,dataset_snu_cell_07_f,0.9240886569023132
17,32.758884,3.8906536,0.9795737663904825,0.004455934330410446,dataset_snu_cell_04_n,40.100895,dataset_snu_cell_04_n,0.9713013172149658
18,34.92042,4.607574,0.977644145488739,0.005781209968423918,dataset_snu_cell_08_f,43.364563,dataset_snu_cell_08_f,0.9667648673057556
19,39.032528,17.726074,0.9617704351743063,0.03506742178999626,dataset_snu_cell_05_n,69.40839,dataset_snu_cell_05_n,0.8944295048713684
20,68.90077,42.71328,0.8574344416459402,0.1594214322356294,dataset_snu_cell_07_f,129.86285,dataset_snu_cell_07_f,0.6192001104354858
21,58.659428,25.609919,0.9165937403837839,0.09490920290484162,dataset_snu_cell_07_f,114.19411,dataset_snu_cell_07_f,0.7055480480194092
