Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,40.967983,10.465732,0.9688055713971456,0.01584660023618866,dataset_snu_cell_03_n,59.293175,dataset_snu_cell_03_n,0.9384638071060181
1,39.93253,9.417849,0.9667505423227946,0.021620613739219863,dataset_snu_cell_07_f,59.791084,dataset_snu_cell_07_f,0.9192765355110168
2,56.78227,17.021946,0.9284929732481638,0.05634769014959157,dataset_snu_cell_07_f,92.698814,dataset_snu_cell_07_f,0.8059670925140381
3,35.17482,11.738646,0.9752138356367747,0.017955376201790874,dataset_snu_cell_03_n,60.6457,dataset_snu_cell_03_n,0.9356244206428528
4,50.1432,13.821995,0.9430948694547018,0.04407710148351429,dataset_snu_cell_15_n,78.92262,dataset_snu_cell_15_n,0.8465827107429504
5,45.16392,10.247968,0.9579654633998871,0.024051272374540182,dataset_snu_cell_05_n,65.71798,dataset_snu_cell_05_n,0.905357301235199
6,40.302944,11.8535595,0.969007541735967,0.016710097896810005,dataset_snu_cell_03_n,59.53017,dataset_snu_cell_03_n,0.9379708766937256
7,54.71774,11.598507,0.938978393872579,0.035194080352978746,dataset_snu_cell_07_f,77.58522,dataset_snu_cell_07_f,0.864079475402832
8,34.66556,6.0096626,0.97781769434611,0.007561932904865154,dataset_snu_cell_08_f,45.954556,dataset_snu_cell_08_f,0.9626762866973877
9,50.965336,14.236482,0.9422618448734283,0.036134820920411106,dataset_snu_cell_07_f,72.0455,dataset_snu_cell_07_f,0.8827964663505554
10,56.548466,31.584187,0.9091333746910095,0.09918977432699974,dataset_snu_cell_07_f,108.17887,dataset_snu_cell_07_f,0.7357518672943115
11,44.87859,16.043905,0.9535697102546692,0.041340353083605626,dataset_snu_cell_07_f,77.591675,dataset_snu_cell_07_f,0.8640568852424622
12,51.206196,9.975476,0.9436735808849335,0.027181948816316616,dataset_snu_cell_07_f,69.27233,dataset_snu_cell_07_f,0.891645610332489
13,55.135525,14.820872,0.9336767494678497,0.052660188378731175,dataset_snu_cell_15_n,85.815895,dataset_snu_cell_15_n,0.8186127543449402
14,54.240967,4.03832,0.943407396475474,0.011113125513506815,dataset_snu_cell_13_f,60.49111,dataset_snu_cell_13_f,0.9263232350349426
15,51.154713,12.433223,0.9429880082607269,0.04066953309611822,dataset_snu_cell_15_n,77.19653,dataset_snu_cell_15_n,0.8532199859619141
16,57.810146,12.146453,0.9343908925851186,0.03535466030588595,dataset_snu_cell_07_f,76.48725,dataset_snu_cell_07_f,0.8678992986679077
