Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,22.711996,7.0829587,0.9897031486034393,0.007091258186503253,dataset_snu_cell_12_f,34.263218,dataset_snu_cell_12_f,0.976362407207489
1,32.56839,14.208654,0.9739077289899191,0.02755297804571735,dataset_snu_cell_07_f,61.62382,dataset_snu_cell_07_f,0.9142519235610962
2,30.96805,14.00379,0.9760973155498505,0.02440336389864418,dataset_snu_cell_07_f,58.172356,dataset_snu_cell_07_f,0.923588216304779
3,21.538153,7.80476,0.9904393553733826,0.006851117727283477,dataset_snu_cell_03_n,36.20261,dataset_snu_cell_03_n,0.9770596027374268
4,38.45813,26.648504,0.949459026257197,0.08046739866335871,dataset_snu_cell_15_n,96.59664,dataset_snu_cell_15_n,0.7701759934425354
5,31.107279,27.610907,0.9631424844264984,0.0611108247671824,dataset_snu_cell_05_n,88.3332,dataset_snu_cell_05_n,0.8290116786956787
6,23.323751,7.418554,0.9893734355767568,0.006362539766827682,dataset_snu_cell_10_f,34.90354,dataset_snu_cell_10_f,0.9785730242729187
7,23.368706,12.377377,0.9856768647829691,0.017802380117543617,dataset_snu_cell_07_f,48.60698,dataset_snu_cell_07_f,0.9466512203216553
8,28.068777,6.1214027,0.9848422209421793,0.0069613048250002675,dataset_snu_cell_06_n,36.555756,dataset_snu_cell_06_n,0.9732322692871094
9,40.914555,31.43083,0.9379237492879232,0.08872862579755936,dataset_snu_cell_15_n,99.97198,dataset_snu_cell_15_n,0.7538341283798218
10,47.703663,20.333084,0.9425617158412933,0.05220563588589235,dataset_snu_cell_05_f,79.40565,dataset_snu_cell_05_f,0.8580161333084106
11,27.423018,11.438904,0.981760690609614,0.018320693974168707,dataset_snu_cell_07_f,50.78749,dataset_snu_cell_07_f,0.9417574405670166
12,39.415623,23.82688,0.9543844958146414,0.053879879663537786,dataset_snu_cell_05_n,84.899895,dataset_snu_cell_05_n,0.8420451879501343
13,29.745438,27.939816,0.9608537356058756,0.0751298807829262,dataset_snu_cell_15_n,91.689255,dataset_snu_cell_15_n,0.7929342985153198
14,23.584578,7.4059176,0.9881049990653992,0.007696593152175506,dataset_snu_cell_06_n,35.89097,dataset_snu_cell_06_n,0.9741969704627991
15,42.538628,26.341843,0.9435934623082479,0.08223048963620092,dataset_snu_cell_15_n,98.47782,dataset_snu_cell_15_n,0.7611373662948608
16,27.211828,13.624733,0.9810531338055929,0.024080291871275715,dataset_snu_cell_07_f,56.60565,dataset_snu_cell_07_f,0.927648663520813
17,14.362598,3.1740484,0.9959091544151306,0.002010012371057074,dataset_snu_cell_09_n,20.688568,dataset_snu_cell_09_n,0.9916437864303589
18,25.491873,5.9130287,0.9877317845821381,0.005287357975570954,dataset_snu_cell_08_f,34.68011,dataset_snu_cell_08_f,0.9787436723709106
19,45.241913,34.385147,0.92611296971639,0.09522588899049832,dataset_snu_cell_15_n,98.34141,dataset_snu_cell_15_n,0.7617986798286438
20,37.063084,23.678005,0.957940528790156,0.04874152463891341,dataset_snu_cell_05_f,73.42956,dataset_snu_cell_05_f,0.8785833716392517
21,32.06885,16.304968,0.9732142885526022,0.03085726568708124,dataset_snu_cell_07_f,63.61495,dataset_snu_cell_07_f,0.9086211919784546
22,46.09569,30.418215,0.9344304998715719,0.08038462841123849,dataset_snu_cell_05_n,99.12129,dataset_snu_cell_05_n,0.7846958041191101
23,22.913193,5.093906,0.9899340371290842,0.004459502734844581,dataset_snu_cell_09_n,30.366335,dataset_snu_cell_09_n,0.9819974303245544
24,29.821945,14.291515,0.9775382379690806,0.02344911452920373,dataset_snu_cell_07_f,56.716385,dataset_snu_cell_07_f,0.9273653030395508
25,20.428585,2.7379916,0.9926402767499288,0.0016414511147295435,dataset_snu_cell_09_f,23.689102,dataset_snu_cell_09_f,0.990271806716919
26,25.164389,19.216095,0.9784671664237976,0.03645115388137659,dataset_snu_cell_05_f,67.616425,dataset_snu_cell_05_f,0.8970465660095215
27,32.05738,9.13865,0.9792545636494955,0.011895677965471948,dataset_snu_cell_06_n,46.280712,dataset_snu_cell_06_n,0.957095742225647
28,33.99602,15.711926,0.9708506564299265,0.03294170570948977,dataset_snu_cell_05_f,67.28665,dataset_snu_cell_05_f,0.8980484008789062
29,26.989996,15.101655,0.9802344838778178,0.02590501158421005,dataset_snu_cell_07_f,58.359047,dataset_snu_cell_07_f,0.9230969548225403
30,22.419733,5.2056026,0.9908003608385721,0.003719574834702451,dataset_snu_cell_03_n,28.422916,dataset_snu_cell_03_n,0.9858596920967102
31,40.38054,14.908937,0.9625439246495565,0.03461044598256671,dataset_snu_cell_05_f,70.84077,dataset_snu_cell_05_f,0.8869936466217041
32,35.430954,29.675913,0.950032502412796,0.09061832299619253,dataset_snu_cell_15_n,101.24075,dataset_snu_cell_15_n,0.7475461363792419
33,29.560225,10.786275,0.9826709528764089,0.012333072439211133,dataset_snu_cell_10_f,48.29621,dataset_snu_cell_10_f,0.958975076675415
34,22.713778,8.572266,0.9887827436129252,0.008985522746775236,dataset_snu_cell_06_n,37.498493,dataset_snu_cell_06_n,0.9718338251113892
35,23.888916,7.4793215,0.9882777432600657,0.009347006044698868,dataset_snu_cell_12_f,40.067158,dataset_snu_cell_12_f,0.967676043510437
36,40.649452,24.081514,0.9510987003644308,0.049086828761744083,dataset_snu_cell_05_f,75.76043,dataset_snu_cell_05_f,0.8707528114318848
37,28.398455,16.738474,0.9773226082324982,0.03142741746215887,dataset_snu_cell_05_f,64.03003,dataset_snu_cell_05_f,0.9076783061027527
38,28.215036,14.151716,0.9792705078919729,0.023776111852263235,dataset_snu_cell_07_f,56.6417,dataset_snu_cell_07_f,0.9275564551353455
39,16.035158,2.836495,0.9953583578268687,0.0013341703420340263,dataset_snu_cell_04_f,19.728868,dataset_snu_cell_04_f,0.9934430718421936
40,23.174616,14.746621,0.9839670956134796,0.024537122695922918,dataset_snu_cell_07_f,56.02499,dataset_snu_cell_07_f,0.9291254281997681
41,23.855324,6.007584,0.9886704981327057,0.006330187578986185,dataset_snu_cell_06_n,33.312683,dataset_snu_cell_06_n,0.9777710437774658
