Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,32.467648,12.395505,0.9787995318571726,0.01446211929684166,dataset_snu_cell_03_n,51.130745,dataset_snu_cell_03_n,0.954240083694458
1,40.382427,19.951736,0.9609776139259338,0.03871067322240889,dataset_snu_cell_02_n,79.22761,dataset_snu_cell_02_n,0.8802188038825989
2,23.876436,6.5703936,0.9876961410045624,0.008802018596100147,dataset_snu_cell_07_f,37.300503,dataset_snu_cell_07_f,0.9685835838317871
3,28.604637,10.915944,0.9831744333108267,0.012750524298093553,dataset_snu_cell_03_n,49.769737,dataset_snu_cell_03_n,0.9566437005996704
4,35.457306,18.722298,0.9669833679993948,0.033398663500617966,dataset_snu_cell_02_n,69.654,dataset_snu_cell_02_n,0.9074177742004395
5,33.274124,9.889126,0.9762052198251089,0.01754564958606434,dataset_snu_cell_05_n,53.257103,dataset_snu_cell_05_n,0.9378453493118286
6,34.825657,11.205532,0.9764190018177032,0.012597366685126992,dataset_snu_cell_03_n,48.688118,dataset_snu_cell_03_n,0.9585077166557312
7,33.270054,13.070754,0.9745982189973196,0.02341547854937973,dataset_snu_cell_07_f,57.198765,dataset_snu_cell_07_f,0.9261245131492615
8,42.33563,44.50036,0.9285423258940378,0.13867009416698822,dataset_snu_cell_02_n,141.38223,dataset_snu_cell_02_n,0.6185608506202698
9,43.30136,8.045313,0.9607411424318949,0.01806002972218524,dataset_snu_cell_15_n,53.825706,dataset_snu_cell_15_n,0.9286406636238098
10,50.336285,33.02008,0.9206242760022482,0.09265009136121094,dataset_snu_cell_07_f,101.3107,dataset_snu_cell_07_f,0.7682404518127441
11,31.143148,9.2025795,0.9788359105587006,0.014944819721033575,dataset_snu_cell_07_f,48.102913,dataset_snu_cell_07_f,0.9477519989013672
12,37.83743,15.717815,0.9655651052792867,0.025575606280069624,dataset_snu_cell_02_n,61.430687,dataset_snu_cell_02_n,0.9279877543449402
13,87.210884,72.940445,0.7491359213987986,0.36831737931851305,dataset_snu_cell_02_n,235.19254,dataset_snu_cell_02_n,-0.05555927753448486
14,22.946924,6.6658897,0.9895089566707611,0.005508024356181817,dataset_snu_cell_02_f,36.19701,dataset_snu_cell_02_f,0.9787415862083435
15,32.437923,12.602371,0.9739290177822113,0.028046229736990235,dataset_snu_cell_15_n,59.909866,dataset_snu_cell_15_n,0.9115967750549316
16,78.20179,89.96228,0.7288761536280314,0.5357937447552856,dataset_snu_cell_02_n,277.38455,dataset_snu_cell_02_n,-0.4682502746582031
17,28.336481,7.9134417,0.9838908712069193,0.008656885293413779,dataset_snu_cell_04_n,43.60795,dataset_snu_cell_04_n,0.966062068939209
18,34.034237,24.187315,0.9673204720020294,0.05031808913551005,dataset_snu_cell_02_n,87.13023,dataset_snu_cell_02_n,0.8551316857337952
19,34.33916,16.194702,0.969259113073349,0.028038485411277375,dataset_snu_cell_15_n,54.43656,dataset_snu_cell_15_n,0.9270117878913879
20,37.628395,19.938147,0.9621281425158182,0.03407980983700606,dataset_snu_cell_05_f,61.99863,dataset_snu_cell_05_f,0.9134433269500732
21,25.331703,6.42327,0.9870220422744751,0.007387706801642927,dataset_snu_cell_07_f,35.12416,dataset_snu_cell_07_f,0.9721426963806152
