Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,39.912365,15.535911,0.9642554223537445,0.03118034961491721,dataset_snu_cell_05_n,68.0693,dataset_snu_cell_05_n,0.8981887698173523
1,28.356607,9.074198,0.9823739329973856,0.013890151870515798,dataset_snu_cell_05_f,45.88291,dataset_snu_cell_05_f,0.9524633288383484
2,56.684452,14.965226,0.9261315166950226,0.051507975224419154,dataset_snu_cell_15_n,84.17178,dataset_snu_cell_15_n,0.8249953389167786
3,38.477116,11.098821,0.9662736256917318,0.02652110247701073,dataset_snu_cell_15_n,60.87641,dataset_snu_cell_15_n,0.9084591865539551
4,45.484943,17.071922,0.9504302243391672,0.0434404419447253,dataset_snu_cell_05_f,77.437004,dataset_snu_cell_05_f,0.8645983338356018
5,37.84561,5.2697644,0.9740089575449625,0.005853571094317652,dataset_snu_cell_02_f,48.11474,dataset_snu_cell_02_f,0.9623511433601379
6,28.795515,7.1407194,0.9842522243658701,0.007137249506402606,dataset_snu_cell_02_f,42.703053,dataset_snu_cell_02_f,0.9703439474105835
7,34.224663,7.6654787,0.9778738915920258,0.009339368297633398,dataset_snu_cell_04_n,46.951862,dataset_snu_cell_04_n,0.9605615735054016
8,38.64649,9.6932,0.9694781402746836,0.020521867136203634,dataset_snu_cell_05_n,57.8997,dataset_snu_cell_05_n,0.9263375997543335
9,50.600708,13.268932,0.9429747561613718,0.039107774874312586,dataset_snu_cell_15_n,75.19076,dataset_snu_cell_15_n,0.8603485226631165
10,36.59104,9.755911,0.9720775087674459,0.018615878360445027,dataset_snu_cell_05_f,54.427372,dataset_snu_cell_05_f,0.9331099390983582
11,31.533659,5.458648,0.980902373790741,0.006012601220055942,dataset_snu_cell_06_f,42.26835,dataset_snu_cell_06_f,0.968652606010437
12,37.648796,13.937421,0.9679089883963267,0.02928001023392012,dataset_snu_cell_07_f,64.725914,dataset_snu_cell_07_f,0.9051416516304016
13,33.343678,14.031623,0.9715606768925985,0.03140721692904388,dataset_snu_cell_15_n,62.911293,dataset_snu_cell_15_n,0.9022371768951416
14,39.90416,11.568458,0.968573123216629,0.016178293002654737,dataset_snu_cell_03_n,58.285786,dataset_snu_cell_03_n,0.9403931498527527
15,37.38582,3.2484179,0.9731250802675883,0.0046811494869871935,dataset_snu_cell_11_n,42.549316,dataset_snu_cell_11_n,0.9657980799674988
16,33.739178,10.0890665,0.9780136048793793,0.012036775290511607,dataset_snu_cell_02_f,50.68264,dataset_snu_cell_02_f,0.9582252502441406
17,28.480476,7.23988,0.9846056004365286,0.007670564189026782,dataset_snu_cell_08_f,41.894405,dataset_snu_cell_08_f,0.9689047336578369
18,46.7236,10.9254875,0.9531910916169485,0.026956065082209768,dataset_snu_cell_07_f,61.636166,dataset_snu_cell_07_f,0.9139817953109741
19,37.89208,7.288297,0.973150392373403,0.008783999603015388,dataset_snu_cell_02_f,51.029102,dataset_snu_cell_02_f,0.9576521515846252
20,34.336338,14.148021,0.9727810323238373,0.02644696263253031,dataset_snu_cell_05_n,61.55863,dataset_snu_cell_05_n,0.9167333245277405
21,34.205536,14.444842,0.9712048371632894,0.030606926815957048,dataset_snu_cell_15_n,62.100845,dataset_snu_cell_15_n,0.9047397971153259
22,46.201862,15.595512,0.9512408177057902,0.03596481511820864,dataset_snu_cell_07_f,68.36006,dataset_snu_cell_07_f,0.8941906094551086
23,40.77639,13.596,0.9623951514561971,0.03296822060526033,dataset_snu_cell_07_f,69.86424,dataset_snu_cell_07_f,0.8894829750061035
24,34.469574,5.079868,0.9777808884779612,0.006824235823275193,dataset_snu_cell_08_f,40.048546,dataset_snu_cell_09_n,0.9715498685836792
25,41.741474,13.260275,0.9626805384953817,0.030013276670925532,dataset_snu_cell_05_n,68.4004,dataset_snu_cell_05_n,0.8971958756446838
26,38.21551,11.003394,0.9716779490311941,0.01649346355268616,dataset_snu_cell_03_n,59.31957,dataset_snu_cell_03_n,0.9382599592208862
27,34.25478,6.912871,0.9776869614919027,0.00995510337909552,dataset_snu_cell_11_n,47.95388,dataset_snu_cell_11_n,0.9565576910972595
28,58.71497,29.613056,0.9070831934611002,0.09435209557730553,dataset_snu_cell_07_f,100.65751,dataset_snu_cell_07_f,0.7705903649330139
29,26.987165,6.9218135,0.9856779376665751,0.006606691020659537,dataset_snu_cell_04_n,36.439407,dataset_snu_cell_04_n,0.9762449264526367
30,39.76521,9.852377,0.9670264224211375,0.02001944103920352,dataset_snu_cell_05_n,58.50419,dataset_snu_cell_05_n,0.9247914552688599
