Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
0,24.578547,10.164513,0.9872414171695709,0.011850521933326886,dataset_snu_cell_03_n,46.417545,dataset_snu_cell_03_n,0.9610747694969177,[0. 0. 0. 1.]
1,21.05008,4.7529745,0.9904618263244629,0.005087595992133554,dataset_snu_cell_07_f,28.218485,dataset_snu_cell_07_f,0.9813609719276428,[0.49764204 0.05676675 0.04039127 0.42801094]
2,22.24356,3.0026155,0.989857037862142,0.003379210983315012,dataset_snu_cell_07_f,26.349705,dataset_snu_cell_07_f,0.9837479591369629,[1. 0. 0. 0.]
3,25.046234,9.326295,0.986873596906662,0.009928301069078913,dataset_snu_cell_03_n,43.567986,dataset_snu_cell_03_n,0.9657073020935059,[0. 0. 0. 1.]
4,30.360212,11.244459,0.9765417178471884,0.02349008478893473,dataset_snu_cell_15_n,54.282898,dataset_snu_cell_15_n,0.9246423840522766,[0. 1. 0. 0.]
5,22.695036,5.825872,0.9889605542023977,0.00565402396763792,dataset_snu_cell_16_f,32.150497,dataset_snu_cell_16_f,0.9797164797782898,[0.3099334  0.22971094 0.03839036 0.40254495]
6,27.044859,7.9582577,0.9854820470015208,0.00905875006286019,dataset_snu_cell_03_n,43.332188,dataset_snu_cell_03_n,0.9660775065422058,[0. 0. 0. 1.]
7,24.609634,6.096201,0.9870440562566122,0.007842500462764834,dataset_snu_cell_07_f,34.912716,dataset_snu_cell_07_f,0.9714685678482056,[0. 0. 0. 1.]
8,18.690989,2.6673386,0.993268350760142,0.0020835494696236703,dataset_snu_cell_08_f,22.110868,dataset_snu_cell_08_f,0.9910802841186523,[0. 0. 0. 1.]
9,30.933798,18.005394,0.970370372136434,0.03200425008040852,dataset_snu_cell_15_n,56.12729,dataset_snu_cell_15_n,0.9194344878196716,[ 0.47518578 -0.07895305  0.01996572  0.6093029 ]
10,18.318274,2.1319504,0.993045449256897,0.0019304665958382332,dataset_snu_cell_05_f,20.597141,dataset_snu_cell_05_f,0.9900972247123718,[0.4348225  0.01676142 0.08683474 0.42058897]
11,24.16601,6.0961494,0.9877101083596548,0.006023391014201464,dataset_snu_cell_02_n,34.274986,dataset_snu_cell_02_n,0.9768288731575012,[ 0.30699664  0.25750163 -0.0985747   0.5140126 ]
