Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value
0,21.771189,7.6690474,0.9906491736570994,0.006296828094626338,dataset_snu_cell_02_f,36.645306,dataset_snu_cell_02_f,0.9775378108024597
1,21.074692,8.036007,0.9907042582829794,0.006755555245827089,dataset_snu_cell_02_f,36.453285,dataset_snu_cell_02_f,0.97777259349823
2,25.218626,8.366869,0.9850532313187917,0.01110708117218425,dataset_snu_cell_05_f,39.748634,dataset_snu_cell_05_f,0.9631202220916748
3,31.515657,6.6806397,0.9791863262653351,0.011993738366985113,dataset_snu_cell_05_f,44.928852,dataset_snu_cell_05_f,0.9528811573982239
4,34.516438,20.349483,0.9645874301592509,0.03800432084967274,dataset_snu_cell_02_n,64.40964,dataset_snu_cell_15_n,0.9046170711517334
5,30.067596,10.049082,0.9813582301139832,0.013107568224681315,dataset_snu_cell_03_n,50.561195,dataset_snu_cell_03_n,0.9538149833679199
6,29.677961,5.3140764,0.983455757300059,0.006164795029459917,dataset_snu_cell_11_n,37.77445,dataset_snu_cell_11_n,0.9722132086753845
7,30.819122,11.48649,0.9779175917307535,0.016917758504167237,dataset_snu_cell_07_f,49.030685,dataset_snu_cell_07_f,0.9437280297279358
8,43.88647,31.458046,0.9388997554779053,0.07798089902637322,dataset_snu_cell_02_n,106.01867,dataset_snu_cell_02_n,0.7783042192459106
9,41.20042,27.719387,0.9444760779539744,0.0654346027523914,dataset_snu_cell_05_f,82.5745,dataset_snu_cell_05_f,0.8408393859863281
10,28.447405,11.449771,0.9802312652269999,0.01649815669525254,dataset_snu_cell_05_n,47.501648,dataset_snu_cell_05_n,0.9487692713737488
11,26.763815,5.337606,0.98552605509758,0.005499543544581969,dataset_snu_cell_02_n,35.082226,dataset_snu_cell_02_n,0.9757245779037476
12,35.191242,12.5134945,0.9712103605270386,0.01850762529256308,dataset_snu_cell_03_n,50.09063,dataset_snu_cell_15_n,0.9423942565917969
13,55.42821,33.37284,0.9076734582583109,0.0877347715169005,dataset_snu_cell_05_f,98.46387,dataset_snu_cell_05_f,0.7736932039260864
14,25.03446,15.055832,0.9799988468488058,0.030041085869058414,dataset_snu_cell_15_n,58.351578,dataset_snu_cell_15_n,0.9129224419593811
15,22.642426,8.117699,0.9877342879772186,0.008722629253384248,dataset_snu_cell_07_f,33.532684,dataset_snu_cell_07_f,0.9736796021461487
16,24.903086,4.5262814,0.9881135821342468,0.0044994173514253865,dataset_snu_cell_02_n,32.063885,dataset_snu_cell_02_n,0.9797220230102539
17,28.641722,8.647087,0.9839363594849905,0.00901725077765431,dataset_snu_cell_04_n,42.06267,dataset_snu_cell_04_n,0.9673991799354553
18,26.692812,5.4644494,0.9846764008204142,0.007158620222093171,dataset_snu_cell_07_f,35.32136,dataset_snu_cell_07_f,0.9707967638969421
19,28.942839,10.202191,0.9828863044579824,0.012960863007591797,dataset_snu_cell_03_n,49.863777,dataset_snu_cell_03_n,0.9550802707672119
20,24.490448,9.637756,0.9857371946175894,0.013850461188817192,dataset_snu_cell_05_n,44.418697,dataset_snu_cell_05_n,0.9552034139633179
21,47.75292,29.22299,0.9265764753023783,0.07100497355571024,dataset_snu_cell_05_f,84.307625,dataset_snu_cell_05_f,0.8340880870819092
22,32.773884,10.680966,0.976572980483373,0.014819528756589973,dataset_snu_cell_03_n,50.341263,dataset_snu_cell_03_n,0.9542158842086792
23,23.421373,3.269797,0.9894912242889404,0.0028036289809483276,dataset_snu_cell_06_f,28.77453,dataset_snu_cell_06_f,0.9850416779518127
24,23.167337,6.630438,0.987792174021403,0.007790949435052173,dataset_snu_cell_07_f,33.7498,dataset_snu_cell_07_f,0.9733376502990723
25,20.253225,3.2616148,0.9923889537652334,0.0019861674715735966,dataset_snu_cell_03_f,23.931408,dataset_snu_cell_06_f,0.9900263547897339
26,31.848223,9.769507,0.9762582778930664,0.015919848869914977,dataset_snu_cell_05_n,45.51299,dataset_snu_cell_05_n,0.9529690146446228
27,30.07422,14.90088,0.9751596947511038,0.027095271427902627,dataset_snu_cell_15_n,56.764847,dataset_snu_cell_15_n,0.917593777179718
28,24.930647,4.9572363,0.9866653184096018,0.006424422054116928,dataset_snu_cell_05_n,34.299454,dataset_snu_cell_05_n,0.9732891321182251
29,25.067446,8.722077,0.987193783124288,0.007362879604149101,dataset_snu_cell_02_f,39.277264,dataset_snu_cell_02_f,0.9741953611373901
30,20.49603,6.3167515,0.9917630553245544,0.004920246226172038,dataset_snu_cell_02_f,33.516407,dataset_snu_cell_02_f,0.9812098741531372
31,29.474539,7.778143,0.9807102978229523,0.011838917627718762,dataset_snu_cell_05_n,43.601414,dataset_snu_cell_05_n,0.9568367004394531
32,25.861628,8.457539,0.9864781101544698,0.008496680556398064,dataset_snu_cell_04_n,40.349533,dataset_snu_cell_04_n,0.9700006246566772
33,28.876945,9.24349,0.9826372861862183,0.009541207942306174,dataset_snu_cell_04_n,41.39493,dataset_snu_cell_04_n,0.9684260487556458
34,48.91408,23.182531,0.932411919037501,0.05498347347045348,dataset_snu_cell_05_f,77.48212,dataset_snu_cell_05_f,0.8598649501800537
35,27.027277,3.546532,0.986828088760376,0.002918014059079106,dataset_snu_cell_03_f,32.809826,dataset_snu_cell_03_f,0.9819937944412231
36,25.877901,10.189269,0.9842546880245209,0.015475265319732829,dataset_snu_cell_05_n,46.806114,dataset_snu_cell_05_n,0.9502585530281067
37,23.988878,9.95208,0.9864613811175028,0.012947337648486035,dataset_snu_cell_05_n,42.661385,dataset_snu_cell_05_n,0.9586778283119202
38,26.388952,7.2237473,0.9855678379535675,0.008148073285369244,dataset_snu_cell_16_f,39.4418,dataset_snu_cell_16_f,0.969473123550415
39,24.680946,7.388175,0.9868011871973673,0.009955547018125352,dataset_snu_cell_05_f,38.3571,dataset_snu_cell_05_f,0.9656572341918945
40,23.80461,7.0703278,0.9891688625017802,0.005793753521604378,dataset_snu_cell_02_f,36.027313,dataset_snu_cell_02_f,0.9782890677452087
41,33.6936,13.8836565,0.9715143442153931,0.024359592741860007,dataset_snu_cell_15_n,54.303585,dataset_snu_cell_15_n,0.9245849847793579
42,25.94425,9.920684,0.983807901541392,0.011693517584647059,dataset_snu_cell_07_f,38.159077,dataset_snu_cell_07_f,0.9659159183502197
43,31.140642,10.719264,0.9770545562108358,0.016205390403874115,dataset_snu_cell_05_n,47.928463,dataset_snu_cell_05_n,0.9478445053100586
44,36.26999,18.194061,0.9628550211588541,0.03496165816166189,dataset_snu_cell_15_n,62.605164,dataset_snu_cell_15_n,0.8997645378112793
45,38.719376,15.202053,0.9640361964702606,0.027769674088177137,dataset_snu_cell_15_n,57.404713,dataset_snu_cell_15_n,0.9157255291938782
46,30.509981,16.732714,0.972722738981247,0.027640739538375803,dataset_snu_cell_15_n,55.968227,dataset_snu_cell_15_n,0.9198904633522034
47,29.186369,11.315139,0.9794691503047943,0.015157312324741296,dataset_snu_cell_05_f,43.71462,dataset_snu_cell_05_f,0.9553936123847961
48,31.423601,11.703649,0.9797466198603312,0.01412608544226684,dataset_snu_cell_03_n,48.86411,dataset_snu_cell_03_n,0.9568633437156677
49,29.84287,9.420016,0.9800074398517609,0.015528045413490869,dataset_snu_cell_05_n,48.43735,dataset_snu_cell_05_n,0.9467310905456543
50,26.51768,9.84747,0.9833555618921915,0.014454583811881161,dataset_snu_cell_05_n,45.41906,dataset_snu_cell_05_n,0.9531629681587219
51,19.538855,5.421575,0.9921167691548666,0.004318140243064829,dataset_snu_cell_16_f,27.844637,dataset_snu_cell_16_f,0.9847857356071472
52,37.404186,16.791246,0.962479809919993,0.032460937911748824,dataset_snu_cell_05_f,61.83662,dataset_snu_cell_05_f,0.9107444286346436
53,26.592964,11.25029,0.9824225306510925,0.018873442694798095,dataset_snu_cell_05_f,50.329124,dataset_snu_cell_05_f,0.9408734440803528
54,20.062422,7.527077,0.9907016853491465,0.008227361878451184,dataset_snu_cell_05_f,33.74742,dataset_snu_cell_05_f,0.973415732383728
55,26.263428,18.790115,0.9747606118520101,0.037063446122047476,dataset_snu_cell_15_n,64.12693,dataset_snu_cell_15_n,0.89483243227005
56,26.589205,1.8161361,0.9864843090375265,0.0017451584186584685,dataset_snu_cell_04_f,29.535603,dataset_snu_cell_06_n,0.9837735891342163
57,43.84491,32.829823,0.9321100115776062,0.08258983193350775,dataset_snu_cell_05_f,92.19341,dataset_snu_cell_05_f,0.8015991449356079
58,26.920927,9.063791,0.9849507311979929,0.009589515847343697,dataset_snu_cell_04_n,41.55124,dataset_snu_cell_04_n,0.968187153339386
59,23.37616,6.211274,0.9889211356639862,0.006831966384923083,dataset_snu_cell_02_n,36.169193,dataset_snu_cell_02_n,0.9741969704627991
60,32.092426,12.405418,0.976115753253301,0.01793439076610601,dataset_snu_cell_04_n,48.592796,dataset_snu_cell_05_n,0.9466794729232788
61,32.126026,9.78602,0.979671448469162,0.012345434122224526,dataset_snu_cell_03_n,49.650597,dataset_snu_cell_03_n,0.9554635286331177
62,24.831846,10.290162,0.9866053660710653,0.01180884629148525,dataset_snu_cell_03_n,46.422836,dataset_snu_cell_03_n,0.9610658884048462
63,26.46966,9.258729,0.9849874476591746,0.010255781750677807,dataset_snu_cell_02_n,41.66122,dataset_snu_cell_02_n,0.9657660722732544
64,25.847,10.603111,0.985842784245809,0.012503942080448607,dataset_snu_cell_04_n,47.1889,dataset_snu_cell_04_n,0.9589687585830688
65,31.75341,16.035547,0.9721607863903046,0.034027900164594845,dataset_snu_cell_15_n,63.12558,dataset_snu_cell_15_n,0.898091197013855
66,35.138584,10.700657,0.9719724853833517,0.01788455512008962,dataset_snu_cell_05_f,51.28903,dataset_snu_cell_05_f,0.9385965466499329
67,29.795843,5.5307508,0.9820802311102549,0.007420420199285254,dataset_snu_cell_07_f,36.096775,dataset_snu_cell_07_f,0.9695004820823669
68,29.219263,9.540422,0.9820524851481119,0.013065918785158004,dataset_snu_cell_02_n,47.757317,dataset_snu_cell_02_n,0.9550144672393799
69,34.045258,14.643343,0.9711160957813263,0.026951808055704105,dataset_snu_cell_15_n,57.33616,dataset_snu_cell_15_n,0.9159266948699951
70,35.907322,17.491253,0.9649960796038309,0.038140882336538624,dataset_snu_cell_15_n,66.73653,dataset_snu_cell_15_n,0.8860988020896912
71,27.519304,6.6834054,0.9850403368473053,0.007708931511564624,dataset_snu_cell_11_n,38.954494,dataset_snu_cell_11_n,0.9704499840736389
72,29.227913,8.618896,0.9815763731797537,0.011474558094215659,dataset_snu_cell_05_f,41.233692,dataset_snu_cell_05_f,0.9603130221366882
73,22.936243,11.021272,0.9882286190986633,0.012123231132571747,dataset_snu_cell_03_n,46.105278,dataset_snu_cell_03_n,0.9615967273712158
74,26.370825,9.955472,0.9853590230147043,0.012446693854760202,dataset_snu_cell_04_n,47.631725,dataset_snu_cell_04_n,0.9581950902938843
75,35.90456,15.453287,0.9699157079060873,0.02514065218900037,dataset_snu_cell_02_n,64.163864,dataset_snu_cell_02_n,0.9187966585159302
76,29.243082,8.240281,0.9810268978277842,0.012949624010988514,dataset_snu_cell_05_n,44.92653,dataset_snu_cell_05_n,0.9541732668876648
77,29.74935,6.7423005,0.9813754161198934,0.010171236145020092,dataset_snu_cell_05_n,40.534336,dataset_snu_cell_05_n,0.9626956582069397
78,30.12533,12.352872,0.9803664187590281,0.014589948053811204,dataset_snu_cell_03_n,48.753555,dataset_snu_cell_03_n,0.957058310508728
79,27.80316,10.425769,0.983762522538503,0.013003472569498702,dataset_snu_cell_03_n,49.170967,dataset_snu_cell_03_n,0.9563198685646057
80,26.072992,8.6863575,0.9844132562478384,0.012046735902448738,dataset_snu_cell_07_f,41.114105,dataset_snu_cell_07_f,0.9604325890541077
81,37.34386,13.239426,0.9650563895702362,0.027684703956013943,dataset_snu_cell_15_n,59.874058,dataset_snu_cell_15_n,0.9083191752433777
82,31.58438,10.52004,0.977615624666214,0.01471653727140883,dataset_snu_cell_04_n,45.268505,dataset_snu_cell_05_n,0.9537692070007324
83,28.862488,7.380394,0.9840321640173594,0.007420614007776128,dataset_snu_cell_02_f,41.84092,dataset_snu_cell_02_f,0.9707168936729431
84,36.807957,11.427411,0.9701899389425913,0.015721435646537652,dataset_snu_cell_03_n,49.64699,dataset_snu_cell_05_f,0.9539259076118469
85,27.174444,11.429345,0.9829372664292654,0.013634000022696413,dataset_snu_cell_03_n,48.59445,dataset_snu_cell_03_n,0.9573380947113037
86,26.366135,10.495701,0.9846745034058889,0.012988586202860876,dataset_snu_cell_03_n,49.2301,dataset_snu_cell_03_n,0.9562147259712219
87,21.249273,4.838151,0.990863154331843,0.003525329016651693,dataset_snu_cell_06_f,27.167921,dataset_snu_cell_06_f,0.9866654276847839
88,31.606293,12.361881,0.9767447908719381,0.017143801576292365,dataset_snu_cell_05_f,47.552868,dataset_snu_cell_05_f,0.9472166299819946
89,31.805847,12.210723,0.9784877796967825,0.015663630680788646,dataset_snu_cell_03_n,48.94066,dataset_snu_cell_04_n,0.9562515616416931
90,32.180325,14.006627,0.971139669418335,0.02933891825641881,dataset_snu_cell_15_n,59.639423,dataset_snu_cell_15_n,0.9090363383293152
91,29.056892,14.175656,0.9764933288097382,0.028293620983206424,dataset_snu_cell_15_n,57.836033,dataset_snu_cell_15_n,0.9144543409347534
92,27.598993,10.045286,0.9845971961816152,0.010842162448742136,dataset_snu_cell_03_n,44.62428,dataset_snu_cell_03_n,0.9640243053436279
