Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
32,28.797829,6.4338856,0.9821606079737345,0.011280878185800102,dataset_snu_cell_15_n,41.35224,dataset_snu_cell_15_n,0.9578818082809448,[ 0.5409842   0.13136667 -0.08256301  0.37988877]
33,33.710434,11.603996,0.9774645566940308,0.015873405803682766,dataset_snu_cell_03_n,55.949596,dataset_snu_cell_03_n,0.9452082514762878,[1. 0. 0. 0.]
34,19.516626,2.6041672,0.9928908248742422,0.002064097061120548,dataset_snu_cell_06_n,23.565676,dataset_snu_cell_06_n,0.9888760447502136,[ 0.66521364 -0.00432047 -0.03752207  0.39565864]
35,18.12361,4.9850936,0.9937589367230734,0.0033870399985352685,dataset_snu_cell_02_f,28.625982,dataset_snu_cell_02_f,0.9867044687271118,[ 0.70474     0.10687462 -0.07601338  0.29685986]
36,29.137075,19.194447,0.9730678796768188,0.03138324215640752,dataset_snu_cell_05_f,58.218716,dataset_snu_cell_05_f,0.9236758947372437,[ 0.63901424  0.0313836  -0.0206218   0.35271862]
37,27.766891,14.425135,0.9808273116747538,0.01941859288321515,dataset_snu_cell_05_f,48.30564,dataset_snu_cell_05_f,0.9474549293518066,[1. 0. 0. 0.]
38,27.336718,12.368822,0.9825749099254608,0.014384543667530038,dataset_snu_cell_03_n,48.51467,dataset_snu_cell_03_n,0.9588028192520142,[ 0.8096258  -0.00465088 -0.0584962   0.25045127]
39,18.58599,4.1354313,0.9935919443766276,0.0025718451711203745,dataset_snu_cell_03_f,25.602034,dataset_snu_cell_03_f,0.9893651008605957,[ 0.68458927 -0.09348501  0.035554    0.38259873]
40,21.82647,8.926017,0.9892554581165314,0.008632619976177255,dataset_snu_cell_04_n,36.3164,dataset_snu_cell_04_n,0.9764625430107117,[ 0.7072987   0.07542413 -0.06313772  0.2824588 ]
41,24.996382,4.142865,0.9884152213732401,0.003500080871102814,dataset_snu_cell_02_f,32.03956,dataset_snu_cell_02_f,0.9833444952964783,[ 0.6675237  -0.09087928  0.12473471  0.3091223 ]
42,34.43628,16.10699,0.9679584999879202,0.03323243512414923,dataset_snu_cell_15_n,64.2716,dataset_snu_cell_15_n,0.8982558250427246,[ 0.56114894 -0.0283692   0.04008706  0.44221422]
