Iteration,Average RMSE,RMSE Std Dev,Average R2,R2 Std Dev,Max RMSE Data Name,Max RMSE Value,Min R2 Data Name,Min R2 Value,Weights
0,25.68799,11.667242,0.9850419759750366,0.01483089439311374,dataset_snu_cell_03_n,50.213104,dataset_snu_cell_03_n,0.9527245163917542,[0. 0. 0. 1.]
1,23.186274,7.094331,0.987463116645813,0.007708196479807141,dataset_snu_cell_07_f,32.614048,dataset_snu_cell_07_f,0.9740250110626221,[ 0.62909234 -0.08771114  0.0939657   0.38393027]
2,21.878149,5.1378827,0.9893472790718079,0.006243344514688298,dataset_snu_cell_07_f,31.35411,dataset_snu_cell_07_f,0.9759931564331055,[0. 0. 0. 1.]
3,25.504095,11.426172,0.9850082596143087,0.013160119793162709,dataset_snu_cell_03_n,47.62131,dataset_snu_cell_03_n,0.9574788808822632,[1. 0. 0. 0.]
4,27.85203,11.511856,0.9785052239894867,0.024099824145161403,dataset_snu_cell_15_n,52.949116,dataset_snu_cell_15_n,0.9250537157058716,[0. 0. 1. 0.]
5,27.420547,8.612473,0.9826139310995737,0.010221080808884887,dataset_snu_cell_16_f,39.134647,dataset_snu_cell_16_f,0.9687597751617432,[0.32002458 0.14809528 0.11885889 0.37988734]
6,29.76689,10.294132,0.9810578028361002,0.014490700229307917,dataset_snu_cell_03_n,51.960365,dataset_snu_cell_03_n,0.949377179145813,[0. 0. 0. 1.]
7,24.705164,5.2683473,0.9868638316790262,0.006223797391125149,dataset_snu_cell_07_n,32.44782,dataset_snu_cell_07_f,0.9776087403297424,[0. 0. 0. 1.]
8,20.829271,3.180769,0.9912816186745962,0.0032000367672047987,dataset_snu_cell_06_n,26.439453,dataset_snu_cell_06_n,0.9849266409873962,[1. 0. 0. 0.]
9,34.44009,18.111628,0.9636759261290232,0.04361132401940153,dataset_snu_cell_15_n,69.887085,dataset_snu_cell_15_n,0.8694350719451904,[0.32381746 0.1369059  0.09828875 0.46642575]
10,29.39036,11.194453,0.977490246295929,0.019067901469296437,dataset_snu_cell_05_f,47.209343,dataset_snu_cell_05_f,0.9457294940948486,[0. 0. 0. 1.]
11,23.164604,5.715822,0.9878233869870504,0.006739662946451742,dataset_snu_cell_07_f,31.50736,dataset_snu_cell_07_f,0.975757896900177,[0. 0. 0. 1.]
12,31.485489,9.275196,0.9761139154434204,0.016807650911435938,dataset_snu_cell_05_n,50.08634,dataset_snu_cell_05_n,0.9406172037124634,[1. 0. 0. 0.]
13,39.273537,12.453728,0.9632679919401804,0.024963149737923004,dataset_snu_cell_15_n,56.150105,dataset_snu_cell_15_n,0.9157181978225708,[0. 1. 0. 0.]
14,15.734116,4.8542223,0.9944242835044861,0.0034695520059276363,dataset_snu_cell_06_n,23.51796,dataset_snu_cell_06_n,0.9880737662315369,[0.43381348 0.04492248 0.16430521 0.35683686]
15,23.785896,12.043551,0.9835167527198792,0.018632633102975606,dataset_snu_cell_15_n,45.845627,dataset_snu_cell_15_n,0.9438139200210571,[1. 0. 0. 0.]
16,25.02062,10.11312,0.9852494994799296,0.01197526983602961,dataset_snu_cell_03_n,42.4773,dataset_snu_cell_03_n,0.9661689400672913,[0.20686515 0.31118956 0.09028885 0.40828398]
17,16.620148,3.8529208,0.994156022866567,0.0025709201972195462,dataset_snu_cell_04_n,23.620619,dataset_snu_cell_04_n,0.9893262982368469,[0.3677585  0.20311518 0.05127889 0.40825304]
18,21.494308,5.339733,0.9904831151167551,0.005124211577045248,dataset_snu_cell_07_n,32.32967,dataset_snu_cell_07_n,0.9796462059020996,[1. 0. 0. 0.]
19,23.870102,16.562567,0.9789152642091116,0.030331082150227638,dataset_snu_cell_15_n,56.708473,dataset_snu_cell_15_n,0.9140336513519287,[0.23440169 0.22682978 0.09406583 0.4345745 ]
20,30.623175,12.556261,0.97629847129186,0.017393652736916468,dataset_snu_cell_03_n,47.43074,dataset_snu_cell_05_f,0.9543730020523071,[0. 0. 0. 1.]
21,22.340378,7.680409,0.9889853099981943,0.006752265316557919,dataset_snu_cell_07_n,33.09396,dataset_snu_cell_07_n,0.9786725044250488,[0.5566733  0.02961944 0.02203205 0.37597063]
22,30.628138,13.221193,0.9751769105593363,0.020906703620441218,dataset_snu_cell_05_n,48.787827,dataset_snu_cell_05_n,0.943656325340271,[0.45702425 0.14473097 0.09911255 0.31664807]
23,19.534231,6.9643283,0.9914833207925161,0.006897128394962135,dataset_snu_cell_02_n,33.72545,dataset_snu_cell_02_n,0.9766775369644165,[0.3957273  0.07452225 0.12927131 0.4053812 ]
24,25.257238,7.5157423,0.9849645098050436,0.010564857481677715,dataset_snu_cell_07_f,38.779274,dataset_snu_cell_07_f,0.9632763862609863,[1. 0. 0. 0.]
25,19.246792,5.19375,0.9924831291039785,0.004177349867058241,dataset_snu_cell_16_f,27.268911,dataset_snu_cell_16_f,0.9848320484161377,[0.2339529  0.40184408 0.02124786 0.33061656]
26,24.220922,6.849962,0.9865096807479858,0.008471969148503298,dataset_snu_cell_05_f,34.714375,dataset_snu_cell_05_f,0.9706555008888245,[0. 0. 0. 1.]
27,17.64107,6.5005426,0.9928674499193827,0.004913023095873171,dataset_snu_cell_11_n,26.64388,dataset_snu_cell_11_n,0.9856320023536682,[ 0.6731892   0.05097952 -0.03905842  0.3273139 ]
28,23.488134,7.136674,0.9869920512040457,0.009236944670776058,dataset_snu_cell_05_f,35.719933,dataset_snu_cell_05_f,0.9689308404922485,[ 0.48850867  0.08458278 -0.03869218  0.45746097]
29,19.381933,7.941195,0.9908431669076284,0.007302079272313523,dataset_snu_cell_04_n,31.397465,dataset_snu_cell_07_f,0.9803673624992371,[ 0.39673963 -0.02159728  0.21234153  0.41348192]
